subject,condition,trial_type,trial_num,fixation_position,target_item,selected_item,correct,excluded
0,left,training,0,,6,7,0,True
0,left,training,1,,5,3,0,True
0,left,training,2,,2,0,0,True
0,left,training,3,,1,2,0,True
0,left,training,4,,7,2,0,True
0,left,training,5,,4,4,1,True
0,left,training,6,,0,2,0,True
0,left,training,7,,3,3,1,True
0,left,training,8,,6,3,0,True
0,left,training,9,,4,1,0,True
0,left,training,10,,5,5,1,True
0,left,training,11,,2,6,0,True
0,left,training,12,,1,1,1,True
0,left,training,13,,0,0,1,True
0,left,training,14,,3,3,1,True
0,left,training,15,,7,7,1,True
0,left,training,16,,3,3,1,True
0,left,training,17,,7,4,0,True
0,left,training,18,,1,1,1,True
0,left,training,19,,0,0,1,True
0,left,training,20,,4,5,0,True
0,left,training,21,,2,2,1,True
0,left,training,22,,6,6,1,True
0,left,training,23,,5,5,1,True
0,left,training,24,,4,4,1,True
0,left,training,25,,1,1,1,True
0,left,training,26,,2,2,1,True
0,left,training,27,,0,0,1,True
0,left,training,28,,5,0,0,True
0,left,training,29,,3,3,1,True
0,left,training,30,,7,7,1,True
0,left,training,31,,6,6,1,True
0,left,training,32,,6,6,1,True
0,left,training,33,,3,3,1,True
0,left,training,34,,1,1,1,True
0,left,training,35,,0,0,1,True
0,left,training,36,,7,6,0,True
0,left,training,37,,4,4,1,True
0,left,training,38,,2,2,1,True
0,left,training,39,,5,5,1,True
0,left,training,40,,5,5,1,True
0,left,training,41,,4,4,1,True
0,left,training,42,,1,1,1,True
0,left,training,43,,3,3,1,True
0,left,training,44,,0,0,1,True
0,left,training,45,,7,7,1,True
0,left,training,46,,2,4,0,True
0,left,training,47,,6,3,0,True
0,left,training,48,,0,0,1,True
0,left,training,49,,6,3,0,True
0,left,training,50,,1,3,0,True
0,left,training,51,,4,4,1,True
0,left,training,52,,3,3,1,True
0,left,training,53,,5,0,0,True
0,left,training,54,,7,7,1,True
0,left,training,55,,2,2,1,True
0,left,training,56,,1,4,0,True
0,left,training,57,,7,4,0,True
0,left,training,58,,2,1,0,True
0,left,training,59,,6,3,0,True
0,left,training,60,,4,4,1,True
0,left,training,61,,5,5,1,True
0,left,training,62,,0,0,1,True
0,left,training,63,,3,3,1,True
0,left,test,0,4,7,5,0,True
0,left,test,1,4,5,5,1,True
0,left,test,2,2,6,3,0,True
0,left,test,3,5,4,5,0,True
0,left,test,4,6,7,5,0,True
0,left,test,5,2,3,3,1,True
0,left,test,6,4,6,6,1,True
0,left,test,7,4,3,3,1,True
0,left,test,8,5,5,4,0,True
0,left,test,9,6,3,3,1,True
0,left,test,10,3,7,7,1,True
0,left,test,11,5,2,6,0,True
0,left,test,12,1,3,6,0,True
0,left,test,13,2,5,5,1,True
0,left,test,14,3,6,6,1,True
0,left,test,15,5,7,6,0,True
0,left,test,16,3,4,4,1,True
0,left,test,17,4,1,5,0,True
0,left,test,18,0,6,3,0,True
0,left,test,19,1,0,6,0,True
0,left,test,20,3,2,2,1,True
0,left,test,21,6,0,7,0,True
0,left,test,22,2,1,1,1,True
0,left,test,23,4,0,6,0,True
0,left,test,24,3,0,0,1,True
0,left,test,25,0,5,5,1,True
0,left,test,26,1,7,7,1,True
0,left,test,27,3,5,3,0,True
0,left,test,28,6,4,1,0,True
0,left,test,29,5,0,1,0,True
0,left,test,30,0,0,6,0,True
0,left,test,31,6,1,2,0,True
0,left,test,32,3,1,1,1,True
0,left,test,33,0,4,4,1,True
0,left,test,34,6,5,1,0,True
0,left,test,35,3,3,3,1,True
0,left,test,36,4,4,4,1,True
0,left,test,37,4,2,2,1,True
0,left,test,38,2,4,5,0,True
0,left,test,39,5,3,0,0,True
0,left,test,40,0,1,6,0,True
0,left,test,41,5,6,7,0,True
0,left,test,42,1,6,3,0,True
0,left,test,43,6,6,3,0,True
0,left,test,44,0,2,5,0,True
0,left,test,45,1,1,1,1,True
0,left,test,46,1,5,7,0,True
0,left,test,47,5,1,2,0,True
0,left,test,48,0,7,2,0,True
0,left,test,49,2,7,6,0,True
0,left,test,50,1,2,7,0,True
0,left,test,51,0,3,3,1,True
0,left,test,52,2,0,6,0,True
0,left,test,53,6,2,3,0,True
0,left,test,54,2,2,7,0,True
0,left,test,55,1,4,7,0,True
1,left,training,0,,2,2,1,False
1,left,training,1,,0,5,0,False
1,left,training,2,,6,5,0,False
1,left,training,3,,5,3,0,False
1,left,training,4,,7,3,0,False
1,left,training,5,,3,6,0,False
1,left,training,6,,1,1,1,False
1,left,training,7,,4,4,1,False
1,left,training,8,,4,4,1,False
1,left,training,9,,6,7,0,False
1,left,training,10,,7,0,0,False
1,left,training,11,,5,5,1,False
1,left,training,12,,3,1,0,False
1,left,training,13,,1,0,0,False
1,left,training,14,,0,7,0,False
1,left,training,15,,2,2,1,False
1,left,training,16,,7,7,1,False
1,left,training,17,,3,3,1,False
1,left,training,18,,0,1,0,False
1,left,training,19,,6,6,1,False
1,left,training,20,,5,5,1,False
1,left,training,21,,2,2,1,False
1,left,training,22,,4,4,1,False
1,left,training,23,,1,1,1,False
1,left,training,24,,7,7,1,False
1,left,training,25,,5,5,1,False
1,left,training,26,,4,4,1,False
1,left,training,27,,3,3,1,False
1,left,training,28,,0,0,1,False
1,left,training,29,,1,0,0,False
1,left,training,30,,6,6,1,False
1,left,training,31,,2,2,1,False
1,left,training,32,,3,3,1,False
1,left,training,33,,6,6,1,False
1,left,training,34,,5,5,1,False
1,left,training,35,,0,0,1,False
1,left,training,36,,4,4,1,False
1,left,training,37,,1,1,1,False
