subject,condition,trial_type,trial_num,target_item,selected_item,correct,landing_position,excluded
0,left,training,0,4,7,0,,False
0,left,training,1,1,1,1,,False
0,left,training,2,3,2,0,,False
0,left,training,3,5,5,1,,False
0,left,training,4,2,2,1,,False
0,left,training,5,6,6,1,,False
0,left,training,6,0,0,1,,False
0,left,training,7,7,7,1,,False
0,left,training,8,6,6,1,,False
0,left,training,9,7,7,1,,False
0,left,training,10,3,3,1,,False
0,left,training,11,5,5,1,,False
0,left,training,12,4,4,1,,False
0,left,training,13,1,1,1,,False
0,left,training,14,0,0,1,,False
0,left,training,15,2,4,0,,False
0,left,training,16,7,7,1,,False
0,left,training,17,3,3,1,,False
0,left,training,18,6,6,1,,False
0,left,training,19,4,4,1,,False
0,left,training,20,0,0,1,,False
0,left,training,21,2,2,1,,False
0,left,training,22,5,5,1,,False
0,left,training,23,1,1,1,,False
0,left,training,24,2,2,1,,False
0,left,training,25,6,6,1,,False
0,left,training,26,1,1,1,,False
0,left,training,27,5,5,1,,False
0,left,training,28,7,7,1,,False
0,left,training,29,3,3,1,,False
0,left,training,30,0,0,1,,False
0,left,training,31,4,4,1,,False
0,left,training,32,4,4,1,,False
0,left,training,33,3,3,1,,False
0,left,training,34,6,6,1,,False
0,left,training,35,0,0,1,,False
0,left,training,36,2,2,1,,False
0,left,training,37,7,7,1,,False
0,left,training,38,1,1,1,,False
0,left,training,39,5,5,1,,False
0,left,training,40,7,7,1,,False
0,left,training,41,2,2,1,,False
0,left,training,42,5,5,1,,False
0,left,training,43,1,1,1,,False
0,left,training,44,0,0,1,,False
0,left,training,45,3,3,1,,False
0,left,training,46,4,4,1,,False
0,left,training,47,6,6,1,,False
0,left,training,48,0,0,1,,False
0,left,training,49,7,7,1,,False
0,left,training,50,4,4,1,,False
0,left,training,51,3,3,1,,False
0,left,training,52,1,1,1,,False
0,left,training,53,5,5,1,,False
0,left,training,54,6,6,1,,False
0,left,training,55,2,2,1,,False
0,left,training,56,1,1,1,,False
0,left,training,57,3,3,1,,False
0,left,training,58,5,5,1,,False
0,left,training,59,4,4,1,,False
0,left,training,60,7,7,1,,False
0,left,training,61,6,6,1,,False
0,left,training,62,2,2,1,,False
0,left,training,63,0,0,1,,False
0,left,test,0,3,3,1,104,False
0,left,test,1,1,1,1,69,False
0,left,test,2,7,7,1,124,False
0,left,test,3,5,5,1,100,False
0,left,test,4,7,7,1,104,False
0,left,test,5,5,5,1,115,False
0,left,test,6,2,2,1,82,False
0,left,test,7,3,3,1,86,False
0,left,test,8,2,2,1,38,False
0,left,test,9,7,7,1,73,False
0,left,test,10,4,4,1,71,False
0,left,test,11,2,2,1,71,False
0,left,test,12,0,0,1,90,False
0,left,test,13,6,6,1,124,False
0,left,test,14,3,3,1,70,False
0,left,test,15,1,1,1,73,False
0,left,test,16,0,0,1,81,False
0,left,test,17,4,4,1,77,False
0,left,test,18,0,0,1,71,False
0,left,test,19,1,1,1,101,False
0,left,test,20,2,2,1,66,False
0,left,test,21,7,7,1,87,False
0,left,test,22,0,0,1,62,False
0,left,test,23,6,6,1,75,False
0,left,test,24,4,4,1,72,False
0,left,test,25,1,1,1,60,False
0,left,test,26,6,6,1,79,False
0,left,test,27,1,1,1,108,False
0,left,test,28,0,0,1,96,False
0,left,test,29,5,5,1,68,False
0,left,test,30,2,2,1,67,False
0,left,test,31,1,1,1,81,False
0,left,test,32,7,7,1,72,False
0,left,test,33,4,4,1,78,False
0,left,test,34,7,7,1,99,False
0,left,test,35,3,3,1,105,False
0,left,test,36,0,0,1,96,False
0,left,test,37,5,5,1,63,False
0,left,test,38,6,6,1,108,False
0,left,test,39,7,7,1,111,False
0,left,test,40,5,5,1,94,False
0,left,test,41,4,4,1,70,False
0,left,test,42,2,2,1,73,False
0,left,test,43,6,6,1,59,False
1,left,training,0,1,5,0,,False
1,left,training,1,7,7,1,,False
1,left,training,2,0,5,0,,False
1,left,training,3,3,6,0,,False
1,left,training,4,4,2,0,,False
1,left,training,5,6,6,1,,False
1,left,training,6,2,6,0,,False
1,left,training,7,5,1,0,,False
1,left,training,8,7,7,1,,False
1,left,training,9,1,1,1,,False
1,left,training,10,3,6,0,,False
1,left,training,11,2,4,0,,False
1,left,training,12,6,6,1,,False
1,left,training,13,0,0,1,,False
1,left,training,14,4,6,0,,False
1,left,training,15,5,5,1,,False
1,left,training,16,4,4,1,,False
1,left,training,17,6,2,0,,False
1,left,training,18,7,6,0,,False
1,left,training,19,5,5,1,,False
1,left,training,20,2,4,0,,False
1,left,training,21,3,7,0,,False
1,left,training,22,0,0,1,,False
1,left,training,23,1,1,1,,False
1,left,training,24,7,7,1,,False
1,left,training,25,5,0,0,,False
1,left,training,26,0,0,1,,False
1,left,training,27,4,2,0,,False
1,left,training,28,6,6,1,,False
1,left,training,29,2,2,1,,False
1,left,training,30,1,1,1,,False
1,left,training,31,3,3,1,,False
1,left,training,32,0,0,1,,False
1,left,training,33,6,6,1,,False
1,left,training,34,3,5,0,,False
1,left,training,35,1,1,1,,False
1,left,training,36,5,7,0,,False
1,left,training,37,4,2,0,,False
1,left,training,38,2,4,0,,False
1,left,training,39,7,7,1,,False
1,left,training,40,3,3,1,,False
1,left,training,41,2,2,1,,False
1,left,training,42,1,1,1,,False
1,left,training,43,4,4,1,,False
1,left,training,44,7,7,1,,False
1,left,training,45,6,6,1,,False
1,left,training,46,5,5,1,,False
1,left,training,47,0,0,1,,False
1,left,training,48,5,5,1,,False
1,left,training,49,6,6,1,,False
1,left,training,50,2,2,1,,False
1,left,training,51,7,7,1,,False
1,left,training,52,4,4,1,,False
1,left,training,53,0,0,1,,False
1,left,training,54,1,1,1,,False
1,left,training,55,3,3,1,,False
1,left,training,56,2,2,1,,False
1,left,training,57,4,4,1,,False
1,left,training,58,6,6,1,,False
1,left,training,59,0,0,1,,False
1,left,training,60,7,7,1,,False
1,left,training,61,1,1,1,,False
1,left,training,62,3,3,1,,False
1,left,training,63,5,5,1,,False
1,left,test,0,5,5,1,71,False
1,left,test,1,7,7,1,146,False
1,left,test,2,7,7,1,79,False
1,left,test,3,5,5,1,121,False
1,left,test,4,1,1,1,125,False
1,left,test,5,3,3,1,117,False
1,left,test,6,2,2,1,67,False
1,left,test,7,3,3,1,83,False
1,left,test,8,6,6,1,77,False
1,left,test,9,4,4,1,84,False
1,left,test,10,7,7,1,77,False
1,left,test,11,1,1,1,81,False
1,left,test,12,3,3,1,79,False
1,left,test,13,5,5,1,59,False
1,left,test,14,4,4,1,55,False
1,left,test,15,6,6,1,149,False
1,left,test,16,6,6,1,64,False
1,left,test,17,0,0,1,69,False
1,left,test,18,4,4,1,67,False
1,left,test,19,3,3,1,57,False
1,left,test,20,4,4,1,75,False
1,left,test,21,0,0,1,55,False
1,left,test,22,1,1,1,133,False
1,left,test,23,5,5,1,88,False
1,left,test,24,1,1,1,71,False
1,left,test,25,2,2,1,73,False
1,left,test,26,3,3,1,66,False
1,left,test,27,1,1,1,71,False
1,left,test,28,4,4,1,71,False
1,left,test,29,5,5,1,132,False
1,left,test,30,5,5,1,,False
1,left,test,31,6,6,1,118,False
1,left,test,32,1,1,1,110,False
1,left,test,33,2,2,1,56,False
1,left,test,34,0,0,1,70,False
1,left,test,35,7,7,1,75,False
1,left,test,36,1,1,1,69,False
1,left,test,37,4,4,1,99,False
1,left,test,38,6,6,1,121,False
1,left,test,39,2,2,1,55,False
1,left,test,40,2,2,1,79,False
1,left,test,41,7,7,1,75,False
1,left,test,42,4,4,1,107,False
1,left,test,43,6,6,1,124,False
1,left,test,44,6,6,1,50,False
1,left,test,45,0,0,1,67,False
1,left,test,46,2,2,1,106,False
1,left,test,47,3,3,1,134,False
1,left,test,48,4,4,1,130,False
1,left,test,49,0,0,1,63,False
1,left,test,50,1,1,1,,False
